pid,name,cores,cpu_usage,status,memory_usage,read_bytes,write_bytes,n_threads
4,System,0,0.0,running,0,87346208,1405568293,254
72,,0,0.0,stopped,0,0,0,0
132,Registry,0,0.0,running,0,5726208,323678208,4
296,svchost.exe,8,0.0,running,5300224,566487,4059107,9
456,dllhost.exe,8,0.0,running,974848,26760,0,6
500,smss.exe,0,0.0,running,0,16804,24724,2
592,LsaIso.exe,0,0.0,running,0,0,0,1
720,lsass.exe,0,0.0,running,0,2833630,2572540,12
796,csrss.exe,0,0.0,running,0,439553,0,12
880,wininit.exe,0,0.0,running,0,9220,0,1
908,Microsoft.Photos.exe,8,0.0,stopped,16384,111942723,136467837,16
996,services.exe,0,0.0,running,0,575668,160,7
1044,svchost.exe,0,0.0,running,0,31111232,2555904,25
1088,fontdrvhost.exe,0,0.0,running,0,0,0,5
1160,WUDFHost.exe,0,0.0,running,0,5619684,128,12
1204,svchost.exe,0,0.0,running,0,442368,0,13
1260,svchost.exe,0,0.0,running,0,0,0,5
1328,IntelCpHeciSvc.exe,0,0.0,running,0,1282,124,3
1360,ctfmon.exe,8,0.0,running,0,64756,0,13
1476,svchost.exe,0,0.0,running,0,5158,0,3
1484,svchost.exe,0,0.0,running,0,0,0,1
1536,svchost.exe,0,0.0,running,0,0,0,4
1548,node.exe,8,0.0,running,0,3369141,0,9
1572,svchost.exe,0,0.0,running,0,516,30092898,13
1624,IntelCpHDCPSvc.exe,0,0.0,running,0,724,0,3
1632,svchost.exe,0,0.0,running,0,2506868,3735712,2
1648,svchost.exe,0,0.0,running,0,0,0,11
1656,svchost.exe,0,0.0,running,0,0,0,3
1708,SystemSettings.exe,8,0.0,stopped,16384,396659,24,22
1740,svchost.exe,0,0.0,running,0,0,0,2
1748,svchost.exe,0,0.0,running,0,0,0,5
1756,SearchProtocolHost.exe,0,0.0,running,0,777,0,6
1780,taskhostw.exe,8,0.0,running,0,10999,10972,4
1796,svchost.exe,0,0.0,running,0,714,0,4
1836,svchost.exe,0,0.0,running,0,0,0,4
1892,svchost.exe,0,0.0,running,0,394158568,121731342,9
1932,MpCopyAccelerator.exe,0,0.0,running,0,192593301,192590593,2
2012,svchost.exe,0,0.0,running,0,0,0,9
2036,svchost.exe,0,0.0,running,0,0,0,1
2060,pythonw.exe,8,0.0,running,22507520,2816971,108,2
2064,svchost.exe,0,0.0,running,0,28236,0,2
2084,svchost.exe,0,0.0,running,0,0,0,7
2244,svchost.exe,0,0.0,running,0,0,0,4
2252,igfxCUIService.exe,0,0.0,running,0,1448,0,2
2348,svchost.exe,0,0.0,running,0,0,0,5
2364,svchost.exe,0,0.0,running,0,0,0,1
2420,node.exe,8,0.0,running,0,51445253,0,12
2436,svchost.exe,0,0.0,running,0,75978520,1296608,17
2448,DiagsCap.exe,0,0.0,running,0,1851290,7040,3
2452,NetworkCap.exe,0,0.0,running,0,11076620,65822,3
2464,SysInfoCap.exe,0,0.0,running,0,38636636,284488,14
2472,AppHelperCap.exe,0,0.0,running,0,9966782,20079,3
2568,chrome.exe,8,0.0,running,1822720,3562217,451940,14
2596,svchost.exe,0,0.0,running,0,1392,1920,5
2612,brave.exe,8,0.0,running,18444288,98472757,120198780,16
2648,TouchpointAnalyticsClientService.exe,0,0.0,running,0,51938161,25057577,20
2720,svchost.exe,0,0.0,running,0,0,0,6
2736,svchost.exe,0,0.0,running,0,9979306,326668,11
2796,svchost.exe,0,0.0,running,0,135532164,135752,7
2836,svchost.exe,0,0.0,running,0,0,0,10
2916,BridgeCommunication.exe,8,0.0,running,1347584,8650191,3340,5
2924,svchost.exe,0,0.0,running,0,16164,0,10
2964,taskhostw.exe,8,0.0,running,2367488,3491774,24225770,8
3020,svchost.exe,0,0.0,running,0,763,3052,5
3052,svchost.exe,0,0.0,running,0,0,0,5
3140,svchost.exe,0,0.0,running,0,0,0,1
3216,svchost.exe,0,0.0,running,0,0,32768,13
3224,svchost.exe,0,0.0,running,0,56084,0,12
3260,svchost.exe,0,0.0,running,0,0,0,1
3384,svchost.exe,0,0.0,running,0,0,0,3
3392,svchost.exe,0,0.0,running,0,2835394,28129920,5
